State,district number,Retired,disabled
MI,12,"94,649","20,199"
MI,13,"75,775","27,583"
MI,14,"91,835","22,032"
MN,1,"110,724","14,478"
MN,2,"96,064","11,909"
MN,3,"104,891","9,957"
MN,4,"92,593","13,605"
MN,5,"72,644","12,948"
MN,6,"95,054","13,835"
MN,7,"122,282","16,544"
MN,8,"135,537","20,746"
MS,1,"115,620","31,645"
MS,2,"101,867","30,553"
MS,3,"113,536","25,004"
MS,4,"115,958","27,181"
MO,1,"87,614","24,482"
MO,2,"129,098","12,997"
MO,3,"127,614","24,957"
MO,4,"118,992","25,816"
MO,5,"105,681","23,255"
MO,6,"117,858","20,798"
MO,7,"128,704","26,871"
MO,8,"121,019","35,380"
MT,1,"189,757","24,869"
NE,1,"90,765","12,237"
NE,2,"79,166","13,245"
NE,3,"100,381","13,428"
NV,1,"81,299","16,125"
NV,2,"123,303","13,963"
NV,3,"123,305","12,913"
NV,4,"110,209","16,660"
NH,1,"116,955","21,772"
NH,2,"119,646","21,930"
NJ,1,"102,993","21,118"
NJ,2,"126,266","22,367"
NJ,3,"135,710","19,303"
NJ,4,"128,188","14,295"
NJ,5,"112,569","10,651"
NJ,6,"88,991","13,991"
NJ,7,"103,972","9,763"
NJ,8,"62,736","11,924"
NJ,9,"92,575","12,365"
NJ,10,"75,358","15,955"
NJ,11,"113,524","8,842"
NJ,12,"101,340","13,058"
NM,1,"105,526","19,073"
NM,2,"107,437","20,134"
NM,3,"113,105","19,139"
NY,1,"115,068","17,381"
NY,2,"98,120","17,886"
NY,3,"117,632","9,474"
NY,4,"106,288","12,825"
NY,5,"83,736","14,352"
NY,6,"96,129","8,585"
NY,7,"61,776","10,787"
NY,8,"79,195","16,512"
NY,9,"78,700","11,690"
NY,10,"82,079","7,199"
NY,11,"94,136","15,867"
NY,12,"84,973","7,212"
NY,13,"74,669","18,585"
NY,14,"70,184","10,611"
NY,15,"57,411","21,334"
NY,16,"96,234","13,609"
NY,17,"101,059","10,602"
NY,18,"101,588","17,296"
NY,19,"127,509","21,225"
NY,20,"115,585","19,718"
NY,21,"124,061","26,750"
NY,22,"120,007","24,281"
NY,23,"122,227","23,985"
NY,24,"116,378","21,511"
NY,25,"116,797","21,783"
NY,26,"107,031","25,058"
NY,27,"135,834","21,310"
NC,1,"119,440","29,094"
NC,2,"94,313","12,241"
NC,3,"128,637","23,633"
NC,4,"117,814","16,648"
NC,5,"135,634","27,743"
NC,6,"114,275","20,942"
NC,7,"156,033","25,951"
NC,8,"105,301","24,898"
NC,9,"112,082","19,515"
NC,10,"138,223","26,621"
NC,11,"170,416","26,311"
NC,12,"84,845","15,583"
NC,13,"134,133","27,019"
ND,1,"105,753","13,797"
OH,1,"96,120","17,728"
OH,2,"103,059","21,752"
OH,3,"67,466","19,664"
OH,4,"112,681","21,922"
OH,5,"114,357","18,776"
OH,6,"114,376","25,095"
OH,7,"117,532","19,957"
OH,8,"105,871","19,797"
OH,9,"94,869","24,538"
OH,10,"104,942","20,151"
OH,11,"90,676","23,013"
OH,12,"107,604","16,469"
OH,13,"111,090","24,517"
OH,14,"125,788","15,421"
OH,15,"97,224","18,795"
OH,16,"125,688","14,679"
OK,1,"111,999","20,498"
OK,2,"123,658","31,479"
OK,3,"112,836","21,679"
OK,4,"109,980","23,588"
OK,5,"102,545","21,533"
OR,1,"116,085","14,174"
OR,2,"166,877","22,967"
OR,3,"102,828","15,711"
OR,4,"164,732","25,676"
OR,5,"144,555","18,157"
PA,1,"120,825","16,085"
PA,2,"68,634","23,265"
PA,3,"83,271","21,370"
PA,4,"115,405","13,601"
